shortname,parent_shortname,question_title,type
kotlin_multiplatform_usage,,Which of the following best describes your Kotlin Multiplatform usage?,CHECKBOX
kotlin_multiplatform_platforms,,Which platforms do you use Kotlin Multiplatform for?,CHECKBOX
kotlin_compose_usage,,Do you use Compose Multiplatform?,RADIO
kotlin_compose_platforms,,Which platforms do you use Compose Multiplatform for?,CHECKBOX
devops_issues,,Which of the following issues regularly hinder your work in DevOps or SRE?,CHECKBOX
devops_manual,,"Which of the following best describes the amount of manual, repetitive tasks performed in your DevOps processes?",RADIO
devops_collaboration,,"How strongly do you agree or disagree with the following statement?<br /><em>“In our team, there’s effective collaboration between development and operations.”</em>",RADIO
devops_practices_used,,Which of the following practices do you currently use in your team?,CHECKBOX
devops_practices_future,,Which of the following practices or technologies do you plan to implement in the next 1–2 years?,CHECKBOX
devops_kubernetes_use,,Do you use Kubernetes in your infrastructure?,RADIO
devops_kubernetes_tools,,Which tools do you use to manage your Kubernetes clusters?,CHECKBOX
devops_conf_management,,Which configuration management or IaC tools do you use?,CHECKBOX
devops_logging_monitoring,,Which monitoring and logging tools do you use to track application and infrastructure performance?,CHECKBOX
devops_logging_monitoring_satisfaction,,How satisfied or dissatisfied are you with your current monitoring and observability solutions?,RADIO
devops_logging_monitoring_priority,,"Next year, what priority will you place on enhancing observability and monitoring for your systems?",RADIO
devops_incident_approach,,"When a production incident or outage occurs, what is your team’s typical response approach?",CHECKBOX
devops_ai_purpose,,For what purpose(s) do you use AI or machine learning tools in your DevOps or SRE processes?,CHECKBOX
devops_ai_influence,,"From your perspective, how strongly will artificial intelligence and machine learning influence DevOps or SRE industry practices in the next few years?",RADIO
devops_ai_issues,,Have you experienced any issues as a result of using AI-generated code or AI tools in your processes?,RADIO
devops_ide_integrations,,Which DevOps-related integrations do you currently use within your primary IDE?,CHECKBOX
"devops_ide_integrations_rate.Deep integration with CI/CD pipelines (e.g. view build statuses, trigger jobs)",devops_ide_integrations_rate,"Deep integration with CI/CD pipelines (e.g. view build statuses, trigger jobs)",RADIO
"devops_ide_integrations_rate.Native support for Infrastructure as Code (“out-of-the-box” enhancements for tools like Terraform, Pulumi, Ansible)",devops_ide_integrations_rate,"Native support for Infrastructure as Code (“out-of-the-box” enhancements for tools like Terraform, Pulumi, Ansible)",RADIO
"devops_ide_integrations_rate.In-IDE Kubernetes cluster management (visualizing clusters, viewing pod logs, deploying from within the editor)",devops_ide_integrations_rate,"In-IDE Kubernetes cluster management (visualizing clusters, viewing pod logs, deploying from within the editor)",RADIO
"devops_ide_integrations_rate.Integration with cloud provider tools (managing AWS, Azure, or Google Cloud resources)",devops_ide_integrations_rate,"Integration with cloud provider tools (managing AWS, Azure, or Google Cloud resources)",RADIO
devops_ide_integrations_rate.Built-in real-time monitoring and log viewing,devops_ide_integrations_rate,Built-in real-time monitoring and log viewing,RADIO
"devops_ide_integrations_rate.AI-powered assistant for DevOps (that provides e.g. configuration recommendations, automatic YAML/script fixes, incident analysis)",devops_ide_integrations_rate,"AI-powered assistant for DevOps (that provides e.g. configuration recommendations, automatic YAML/script fixes, incident analysis)",RADIO
devops_ide_integrations_rate,,Please rate the usefulness of the following potential features if they were integrated directly into your IDE.,TABLE
devops_tool,,Which tool do you use most often when working with IaC or DevOps tasks?,RADIO
cloud_utilize,,How does your company utilize cloud infrastructure?,RADIO
cloud_services,,Which cloud services do you use?,CHECKBOX
remote_adoption_stage,,"If your company is adopting remote development, at what stage of the process is it right now?",RADIO
pairprog_do,,Do you practice collaborative development?,CHECKBOX
remote_cloud_often,,How often do you develop on a remote machine or in a cloud development environment (using any programming language)?,RADIO
remote_connect,,"When you develop remotely, what do you connect to?",CHECKBOX
remote_connect_tools,,Which tools do you use to connect to a remote machine or cloud development environment?,CHECKBOX
remote_purpose,,For which of the following reasons or purposes does your company develop on remote machines?,CHECKBOX
remote_vdi_tools,,"Which virtual desktop infrastructure tools do you use in your development activities, if any?",CHECKBOX
remote_cloud_like,,"What do you like best about the cloud development environments you use?&lt;br /&gt;
Select up to three items that matter most to you.",CHECKBOX
remote_cloud_frustrating,,"What, if anything, do you find frustrating about the cloud development environments you use?<br />
Select up to three items you dislike the most.",CHECKBOX
remote_satisfaction,,How satisfied or dissatisfied are you with the remote development tools currently on the market?,RADIO
static_mandatory_checks,,Which of the following checks did your code absolutely have to pass to be considered production-ready?,CHECKBOX
static_other_checks,,Which other checks did you use that weren't mandatory for code to pass?,CHECKBOX
static_tools,,Which of the following tools do you use for automated code analysis or static analysis?,CHECKBOX
is_testing_integral,,Is testing an integral part of the development process in your company or team?,RADIO
test_lead_manage_qa,,Do you lead or manage a QA team?,RADIO
testing_job_titile,,Which of the following best describes your QA role (regardless of the level of your position)?,RADIO
test_qa_experience,,How long have you been working as a QA specialist?,RADIO
test_what_test,,What do you test?,CHECKBOX
testing_autotests,,Do you create automated tests?,RADIO
do_case_design,,Does your testing process include test case design?,RADIO
test_design_how,,How are test design and test execution performed in your company?,RADIO
test_types,,Which types of tests are used in your project?,CHECKBOX
testers_qa_pskills,,What proportion of testers and QA engineers in your project have <u>programming skills</u>?,RADIO
testers_qa_manual,,What proportion of testers and QA engineers in your project do only <u>manual testing</u>?,RADIO
store_testcases,,Which kinds of tools do you use to store test cases?,CHECKBOX
test_management_tools,,Which test management tools do you use?,CHECKBOX
testing_frameworks,,"Which of the following test frameworks do you use, if any?",CHECKBOX
testing_tools,,"Which of the following test tools do you use, if any?",CHECKBOX
auto_tests_pl,,Which programming languages do you use for test automation in your project?,CHECKBOX
testing_bdd,,"Which behavior-driven development (BDD) technologies do you use, if any?",CHECKBOX
testing_participate,,Would you like to participate in further research relating to JetBrains QA tools?,RADIO
regularly_tools,,Which of the following types of tools do you regularly use?,CHECKBOX
ci.company,,Which continuous integration (CI) system do you regularly use in your company or organization?,CHECKBOX
ci.personal,,Which continuous integration (CI) system(s) do you regularly use for your personal or side projects?,CHECKBOX
project.company,,Which of the following tools do you use for project and task management in your company or organization?,CHECKBOX
project.personal,,"Which of the following tools do you use for project and task management for your side, open-source, or personal projects?",CHECKBOX
tools_vcs,,"Which version control system(s) do you regularly use, if any?",CHECKBOX
teamtools_vcservice_company,,Which version control service(s) do you regularly use in your company or organization?,CHECKBOX
teamtools_vcservice_personal,,Which version control service(s) do you regularly use for your personal or side projects?,CHECKBOX
tools_adopted,,Which of the following types of tools have you and/or your team adopted or migrated to in the past 12 months?,CHECKBOX
tools_cloud,,Which of the following types of tools do you use in the cloud?,CHECKBOX
tools_ci_type,,Which type of installation does your primary CI/CD tool have?,RADIO
tools_task_management_ai,,How do you use AI in your task management workflow?,RADIO
space_tools_repo,,Which tools do you use for artifact and package management in your company or organization?,CHECKBOX
space_plugins,,For which of the following external tools and actions do you use plugins to integrate with your IDE?,CHECKBOX
space_knowledge_base,,Which tools do you use for knowledge sharing and document collaboration in your company or organization?,CHECKBOX
space_helpdesk,,Which service desk or helpdesk tools do you use in your company or organization?,CHECKBOX
space_helpdesk_what_for,,For which purposes do you use service desk or helpdesk tools?,CHECKBOX
space_nagents,,How many agents are there in your workspace?,RADIO
,ds_what,Data science,RADIO
,ds_what,Data analytics,RADIO
,ds_what,Machine learning,RADIO
,ds_what,Data engineering,RADIO
,ds_what,AI engineering,RADIO
ds_what,," What kind of activity is data science, data analytics, data engineering, and machine learning for you?",TABLE
ds_activities,,In which of the following activities are you involved?,CHECKBOX
ds_ai_usage,,Which of the following AI tools do you use to assist your data analysis work on a regular basis?,CHECKBOX
ds_data_formats,,Which data formats do you work with?,CHECKBOX
ds_ide,,Which IDEs or editors do you use for data science or data analytics?,CHECKBOX
ds_notebooks,,How much of your working time is spent inside notebooks?,RADIO
ds_notebooks_for,,What do you use notebooks for?,CHECKBOX
ds_sources,,What do you use to store the data you work with?,CHECKBOX
ds_ml_enterprise,,"Which enterprise data science platforms do you use, if any?",CHECKBOX
ds_team_size,,"Including yourself, how many members does your data team have?",RADIO
ds_team_engineer,,Do you have a data engineer in your team?,RADIO
ds_dbt,,Do you use dbt?,RADIO
ds_dbt_which,,Which dbt do you use?,RADIO
ds_ml_deep,,Do you train machine learning or deep learning models?,RADIO
ds_ml_llm,,Do you work with LLMs as an ML engineer?,RADIO
ds_model_type,,Which type of models do you train?,CHECKBOX
ds_ml_frameworks,,Which machine learning framework(s) do you use?,CHECKBOX
ds_ml_use,, For which purposes are AI or ML-powered tools used in your company or organization?,CHECKBOX
ds_gpu_sessions,,"On average, how many training sessions (experiments) do you run on GPUs or TPUs per month?",RADIO
ds_training_time,,"On average, how many hours does it take you to train one model?",RADIO
ds_gpu_sorts,,What sorts of GPU computational resources do you use for data science tasks?,CHECKBOX
ds_ml_tracking,,Which specific tools do you use for tracking model training experiments?,CHECKBOX
ds_present,,What tools do you use to present the results of your research?,CHECKBOX
ds_present_format,,"When you present your work, which format do your results typically take?",CHECKBOX
ds_audience,, Who is the main target audience of your reports?,RADIO
ds_interactivity,,"Is interactivity required when presenting your results? (For example, having an interactive report with several dropdowns that change the charts or findings based on the selection.)",RADIO
teaching_what,,What is teaching for you?,RADIO
edu_teach_type,,Which type(s) of institution do you teach at? Please select all that apply.,CHECKBOX
edu_teach_level,,Which level of education do you teach?,CHECKBOX
edu_teach_subject,,Which subject(s) do you teach?,CHECKBOX
edu_teach_lang,,Which programming languages do you currently teach or have you taught in the past?,CHECKBOX
edu_teach_tools,,Which of the following tools do you recommend to students?,CHECKBOX
edu_level,,Which of the following best describes the highest level of formal education that you’ve completed?,RADIO
edu_switched_to_it,,Have you ever made a career transition to tech or IT?,RADIO
learn_pl,,"Which programming languages have you been learning in the past 12 months, if any?",CHECKBOX
secure_use,,Do you follow a secure software development life cycle?,RADIO
secure_tools,,Which types of tools do you use for secure development?,CHECKBOX
secure_ide_features,,Which features of your IDE do you use to help write secure code?,CHECKBOX
secure_thirdparty_analysis,,Would you be willing to send your code to a third party for security analysis?,RADIO
secure_tool_help,,"In general, how would you prefer tools to help you with security problems?",CHECKBOX
secure_dependency_decision,,"In your team, company, or organization, who makes the decision to update a project's external dependency?",CHECKBOX
secure_who,,Who is responsible for secure software development in your company or organization?,CHECKBOX
comp_ram,,How much RAM do you have on the computer you use most often?,RADIO
comp_mon,,How many monitors do you use for your work?,RADIO
nocode_use_cases,, What do you or your company use low-code/no-code platforms for?,CHECKBOX
nocode_platforms,,Which platforms do you or your company use for low-code/no-code development?,CHECKBOX
nocode_benefits,, What key benefits of using a low-code/no-code platform do you see?,RADIO
nocode_usability_rating,,Please rate the usability of the applications built on low-code/no-code platforms that you’ve come across:,RADIO
nocode_user_issues,,Which kinds of issues do you commonly experience when using applications developed on/with no-code/low-code platforms?,CHECKBOX
nocode_time_spent,,What percentage of total working time do you spend using low-code/no-code platforms?,RADIO
nocode_dev_experience_rating,,Please rate your experience while developing on such platforms:,RADIO
nocode_dev_issues,,Which kinds of issues do you commonly experience while developing using no-code/low-code platforms?,CHECKBOX
nocode_ai_benefits,,What benefits of using AI with low-code/no-code platforms do you see?,CHECKBOX
ai_models_copilot,,Which AI models / LLMs do you regularly use in GitHub Copilot? ,CHECKBOX
ai_models_cursor,,Which AI models / LLMs do you regularly use in Cursor? ,CHECKBOX
ai_models_jb_ai,,Which AI models / LLMs do you regularly use in JetBrains AI Assistant? ,CHECKBOX
ai_models_windsurf,,Which AI models / LLMs do you regularly use in Windsurf?,CHECKBOX
ai_models_windsurf_plugin,,Which AI models / LLMs do you regularly use in Windsurf Plugin (previously Codeium)?,CHECKBOX
ai_models_tabnine,,Which AI models / LLMs do you regularly use in Tabnine?,CHECKBOX
ai_llms_use_coding_at_work,,"This question is about the usage of AI models / LLMs <strong>via the providers’ websites, apps, or APIs, not about their usage inside third-party tools </strong>(e.g. in GitHub Copilot, Cursor, JetBrains AI Assistant and similar).<br /><br />
Which AI models / LLM do you regularly use for coding and other development-related activities <strong>at your work?</strong>",CHECKBOX
ai_access_how,,How do you access these AI models / LLMs that you use for coding and development-related activities at your work?,CHECKBOX
best_ai_llm_for_coding,,Which AI model / LLM do you think is the best suited for your coding and development-related tasks?,RADIO
org_use_ai_china,,Does your organization have access to the AI / LLM services and tools that are not generally available in Mainland China (such as ChatGPT)?,RADIO
ai_types_tools,,Which types of AI- or LLM-powered tools or services are used in your organization?,CHECKBOX
ai_llms_company_use_china,,Which AI / LLM tools and models does your organization use?,CHECKBOX
ai_no_usage_reasons,,"In your opinion, why doesn’t your organization use AI- or LLM-powered tools or services?",CHECKBOX
percent_devs_use_ai_in_company,,What percentage of software developers / coding professionals use AI tools and features for coding and development-related activities in your company?,RADIO
level_ai_adoption_in_company,,How would you describe the current level of AI adoption in your company’s software development processes?,RADIO
devareas_ai_used_in_company,,"Which areas of the software development cycle does your company use AI tools in, if any?",CHECKBOX
ai_non_code_related_usage,,"Which AI agents do you use for non-code-related tasks at work, if any?",CHECKBOX
ai_agents_areas,,Which areas of work do you use these AI agents in? ,CHECKBOX
ai_coding_aspects_imp.Quality of code completion suggestions,ai_coding_aspects_imp,Quality of code completion suggestions,RADIO
ai_coding_aspects_imp.Speed of generating code completion suggestions,ai_coding_aspects_imp,Speed of generating code completion suggestions,RADIO
ai_coding_aspects_imp.Frequency of code completion suggestions,ai_coding_aspects_imp,Frequency of code completion suggestions,RADIO
ai_coding_aspects_imp.Quality of generated code,ai_coding_aspects_imp,Quality of generated code,RADIO
ai_coding_aspects_imp.Speed of code generation (apart from code completion),ai_coding_aspects_imp,Speed of code generation (apart from code completion),RADIO
ai_coding_aspects_imp.Quality of answers in chat,ai_coding_aspects_imp,Quality of answers in chat,RADIO
ai_coding_aspects_imp.Speed of response generation in chat,ai_coding_aspects_imp,Speed of response generation in chat,RADIO
ai_coding_aspects_imp.Quality of the AI features’ codebase context awareness,ai_coding_aspects_imp,Quality of the AI features’ codebase context awareness,RADIO
ai_coding_aspects_imp.Smooth integration with my IDE or code editor,ai_coding_aspects_imp,Smooth integration with my IDE or code editor,RADIO
ai_coding_aspects_imp.Easy-to-use user interface,ai_coding_aspects_imp,Easy-to-use user interface,RADIO
ai_coding_aspects_imp.Predictability of features’ behavior,ai_coding_aspects_imp,Predictability of features’ behavior,RADIO
ai_coding_aspects_imp.Price,ai_coding_aspects_imp,Price,RADIO
ai_coding_aspects_imp.Security and privacy,ai_coding_aspects_imp,Security and privacy,RADIO
ai_coding_aspects_imp.Availability of the best AI models / LLMs for coding,ai_coding_aspects_imp,Availability of the best AI models / LLMs for coding,RADIO
ai_coding_aspects_imp.Availability of different AI models / LLMs,ai_coding_aspects_imp,Availability of different AI models / LLMs,RADIO
ai_coding_aspects_imp.Availability of local AI models / LLMs that do not require internet access,ai_coding_aspects_imp,Availability of local AI models / LLMs that do not require internet access,RADIO
ai_coding_aspects_imp,,"How important is each of the following aspects of AI coding assistants, agents and IDEs for you?",TABLE
ai_coding_tasks_freq.Code completion,ai_coding_tasks_freq,Code completion,RADIO
ai_coding_tasks_freq.Generating code,ai_coding_tasks_freq,Generating code,RADIO
ai_coding_tasks_freq.Prompt-based agentic development of features or programs,ai_coding_tasks_freq,Prompt-based agentic development of features or programs,RADIO
ai_coding_tasks_freq.Editing code across multiple files,ai_coding_tasks_freq,Editing code across multiple files,RADIO
"ai_coding_tasks_freq.Generating chunks of boilerplate, repetitive code",ai_coding_tasks_freq,"Generating chunks of boilerplate, repetitive code",RADIO
ai_coding_tasks_freq.Generating code comments or code documentation,ai_coding_tasks_freq,Generating code comments or code documentation,RADIO
"ai_coding_tasks_freq.Generating user documentation (e.g. manuals, tutorials, release notes)",ai_coding_tasks_freq,"Generating user documentation (e.g. manuals, tutorials, release notes)",RADIO
ai_coding_tasks_freq.Generating internal documentation,ai_coding_tasks_freq,Generating internal documentation,RADIO
ai_coding_tasks_freq.Generating tests,ai_coding_tasks_freq,Generating tests,RADIO
ai_coding_tasks_freq.Generating commit messages,ai_coding_tasks_freq,Generating commit messages,RADIO
ai_coding_tasks_freq.Explaining code,ai_coding_tasks_freq,Explaining code,RADIO
ai_coding_tasks_freq.Summarizing recent code changes,ai_coding_tasks_freq,Summarizing recent code changes,RADIO
ai_coding_tasks_freq.Performing code reviews,ai_coding_tasks_freq,Performing code reviews,RADIO
ai_coding_tasks_freq.Explaining bugs and offering fixes for them,ai_coding_tasks_freq,Explaining bugs and offering fixes for them,RADIO
ai_coding_tasks_freq.Checking code for potential issues,ai_coding_tasks_freq,Checking code for potential issues,RADIO
ai_coding_tasks_freq.Improving or optimizing code,ai_coding_tasks_freq,Improving or optimizing code,RADIO
ai_coding_tasks_freq.Converting code to other languages,ai_coding_tasks_freq,Converting code to other languages,RADIO
ai_coding_tasks_freq.Refactoring code,ai_coding_tasks_freq,Refactoring code,RADIO
"ai_coding_tasks_freq.Suggesting names for classes, functions, variables, etc.",ai_coding_tasks_freq,"Suggesting names for classes, functions, variables, etc.",RADIO
ai_coding_tasks_freq.Debugging code,ai_coding_tasks_freq,Debugging code,RADIO
ai_coding_tasks_freq.Generating CLI commands by natural-language description,ai_coding_tasks_freq,Generating CLI commands by natural-language description,RADIO
ai_coding_tasks_freq.Search in natural-language queries for code fragments,ai_coding_tasks_freq,Search in natural-language queries for code fragments,RADIO
ai_coding_tasks_freq.Asking questions about software development and coding,ai_coding_tasks_freq,Asking questions about software development and coding,RADIO
ai_coding_tasks_freq.Brainstorming new ideas,ai_coding_tasks_freq,Brainstorming new ideas,RADIO
ai_coding_tasks_freq.Learning new things about coding and software development,ai_coding_tasks_freq,Learning new things about coding and software development,RADIO
ai_coding_tasks_freq,,How often do you use AI tools for each of the following tasks at work?,TABLE
ai_benefits,,What benefits do you get from using AI tools for coding and other development-related activities?,CHECKBOX
ai_time_saving,,"On average, how much time do you think you save per week by using AI tools for coding and other development-related activities?",RADIO
ai_coding_delegate.Writing application logic code,ai_coding_delegate,Writing application logic code,RADIO
"ai_coding_delegate.Writing boilerplate, repetitive code",ai_coding_delegate,"Writing boilerplate, repetitive code",RADIO
ai_coding_delegate.Writing code comments or code documentation,ai_coding_delegate,Writing code comments or code documentation,RADIO
"ai_coding_delegate.Writing user documentation (e.g. manuals, tutorials, release notes)",ai_coding_delegate,"Writing user documentation (e.g. manuals, tutorials, release notes)",RADIO
ai_coding_delegate.Writing internal documentation,ai_coding_delegate,Writing internal documentation,RADIO
ai_coding_delegate.Writing commit messages,ai_coding_delegate,Writing commit messages,RADIO
ai_coding_delegate.Writing tests,ai_coding_delegate,Writing tests,RADIO
ai_coding_delegate.Explaining bugs and offering fixes for them,ai_coding_delegate,Explaining bugs and offering fixes for them,RADIO
ai_coding_delegate.Understanding code,ai_coding_delegate,Understanding code,RADIO
ai_coding_delegate.Performing code reviews,ai_coding_delegate,Performing code reviews,RADIO
ai_coding_delegate.Searching for code fragments inside the codebase,ai_coding_delegate,Searching for code fragments inside the codebase,RADIO
ai_coding_delegate.Searching for development-related information on the internet,ai_coding_delegate,Searching for development-related information on the internet,RADIO
ai_coding_delegate.Debugging,ai_coding_delegate,Debugging,RADIO
ai_coding_delegate.Understanding recent code changes,ai_coding_delegate,Understanding recent code changes,RADIO
ai_coding_delegate.Refactoring,ai_coding_delegate,Refactoring,RADIO
ai_coding_delegate.Performing actions in the terminal / CLI,ai_coding_delegate,Performing actions in the terminal / CLI,RADIO
ai_coding_delegate.Checking code for potential issues,ai_coding_delegate,Checking code for potential issues,RADIO
ai_coding_delegate.Improving or optimizing code,ai_coding_delegate,Improving or optimizing code,RADIO
ai_coding_delegate.Converting code to other languages,ai_coding_delegate,Converting code to other languages,RADIO
"ai_coding_delegate.Creating project-related content, such as tasks, comments, descriptions, etc.",ai_coding_delegate,"Creating project-related content, such as tasks, comments, descriptions, etc.",RADIO
ai_coding_delegate.Brainstorming new ideas,ai_coding_delegate,Brainstorming new ideas,RADIO
ai_coding_delegate.Summarizing recent code changes,ai_coding_delegate,Summarizing recent code changes,RADIO
ai_coding_delegate.Writing reports or whitepapers,ai_coding_delegate,Writing reports or whitepapers,RADIO
ai_coding_delegate.Communicating through email and messaging,ai_coding_delegate,Communicating through email and messaging,RADIO
ai_coding_delegate,,How likely is it that you would delegate the following activities to AI tools for coding and development?,TABLE
concerns_ai_coding,,What is your biggest concern about AI in coding and software development?,RADIO
areas_want_ai_assist,,In which of the following areas would you like to get assistance from AI tools for coding and development?,CHECKBOX
expect_coding_change_due_ai,,How do you expect your coding and development workflows to change in the next 1–3 years due to AI tools for coding and development?,CHECKBOX
"ai_coding_statements_future.AI will eventually take over the coding process, fully replacing human developers",ai_coding_statements_future,"AI will eventually take over the coding process, fully replacing human developers",RADIO
ai_coding_statements_future.The majority of coding will turn into prompt engineering,ai_coding_statements_future,The majority of coding will turn into prompt engineering,RADIO
ai_coding_statements_future.The adoption of AI coding will decrease the demand for professional software developers,ai_coding_statements_future,The adoption of AI coding will decrease the demand for professional software developers,RADIO
ai_coding_statements_future.AI tools for developers will radically change the software development job market,ai_coding_statements_future,AI tools for developers will radically change the software development job market,RADIO
ai_coding_statements_future.Employers will expect every software developer to be proficient with AI tools for developers,ai_coding_statements_future,Employers will expect every software developer to be proficient with AI tools for developers,RADIO
ai_coding_statements_future.AI tools for developers will make developers more efficient,ai_coding_statements_future,AI tools for developers will make developers more efficient,RADIO
ai_coding_statements_future.I am ready to use cloud-based generative AI services for work tasks,ai_coding_statements_future,I am ready to use cloud-based generative AI services for work tasks,RADIO
ai_coding_statements_future,,To what extent do you agree with each of the following statements?,TABLE
dx_measure_types,,Does your company measure developer experience and developer productivity (either for individuals or teams)?,RADIO
"dx_dx_influenced.Technical factors (such as performance of development tools, code editor responsiveness, etc.)?",dx_dx_influenced,"Technical factors (such as performance of development tools, code editor responsiveness, etc.)?",RADIO
"dx_dx_influenced.Non-technical factors (such as team processes, clear communication, clear goals, fair compensation, your overall well-being, work-life balance, etc.)?",dx_dx_influenced,"Non-technical factors (such as team processes, clear communication, clear goals, fair compensation, your overall well-being, work-life balance, etc.)?",RADIO
dx_dx_influenced,,To what extent do you believe developer productivity is influenced by …?,TABLE
dx_concept_familiarity_dx_persons,,Are you familiar with the concept of developer experience?,RADIO
dx_approach_awareness,,"To what extent are you aware of your company’s policies and practices concerning developer productivity, experience, and associated processes?",RADIO
dx_roles_responsibility,,Who is responsible for developer productivity engineering and developer experience in your company?,CHECKBOX
dx_dev_ratio,,"For every 20 software developers, approximately how many dedicated specialists in your company work full-time in the areas of developer productivity and/or developer experience?",RADIO
dx_main_org_measure,,What is your company's main organizational measure to enhance developer productivity and developer experience?,RADIO
dx_org_prod_measure,,Which of the following methods does your company or organization use to measure developer productivity?,CHECKBOX
dx_org_prod_metrics,,Which of the following metrics does your company use to assess developer productivity and/or developer experience?,CHECKBOX
dx_trends_familiarity,,Do you keep up with the latest trends and discussions related to developer experience an/or developer productivity?,RADIO
dx_prod_influenced_by.technical,dx_prod_influenced_by,"Technical factors (such as performance of development tools, code editor responsiveness, etc.)?",RADIO
dx_prod_influenced_by.non_technical,dx_prod_influenced_by,"Non-technical factors (such as team processes, clear communication, clear goals, fair compensation, your overall well-being, work-life balance, etc.)?",RADIO
dx_prod_influenced_by,,To what extent do you believe your productivity as a developer is influenced by…?,TABLE
dx_measure_methods,,Which of the following methods does your company or organization use to measure your productivity?,CHECKBOX
dx_prod_how_feel,, How do you feel about the fact that your productivity is being measured?,RADIO
dx_measure_accuracy,,Do you feel that the methods or metrics used to measure your productivity accurately reflect your productivity and contribution?,RADIO
dx_org_measures_could,,What is the main organizational measure that your company could implement to enhance your productivity as a developer? ,RADIO
dx_concept_familiarity,,Are you familiar with the concept of developer experience?,RADIO
dx_tools_measurement_methods,,How is your satisfaction with development tools measured in your company?,CHECKBOX
dx_tools_measurement_frequency,,How frequently is your satisfaction with development tools measured?,RADIO
dx_measure_responsibility,,Who is primarily responsible for measuring your productivity and/or developer experience?,CHECKBOX
job_hours_overload,,"On average, how many hours do you actually work compared to your contracted amount (e.g. 40 hours per week)?",RADIO
ai_bci_when,,When do you think it will be possible for software developers to “write” reasonable code directly with their minds (or brains) (using BCIs)?,RADIO
ai_agi_when,,When do you expect true AGI (human-like artificial general intelligence) will be developed? ,RADIO
ai_agi_outcome,,"If AGI were to be developed, what would be the most likely outcome?",RADIO
job_challenges,,What are the most challenging aspects of your job?,CHECKBOX
work_where,,Where do you primarily work?,RADIO
job_wfh_allowed,,Is working from home allowed in your company or organization?,RADIO
job_internet_restrictions,,Do you have any restrictions in accessing the internet during your work?,RADIO
job_code,,How much of your working time do you spend on activities directly involving code?,RADIO
job_layoffs_experience,,Have there been any layoffs in companies you worked for in the past two years?,RADIO
job_security_feeling,,How secure do you feel in your current job?,RADIO
job_market_conditions,,"How would you describe the current job market for software developers in your city or area, particularly in terms of how easy it is to get a job?",RADIO
fun_cats_or_dogs,,Which type of pet do you like more?,RADIO
fun_owl,,Which statement do you identify with?,RADIO
lifestyle_hobbies,,Which activities or hobbies do you pursue in your free time?,CHECKBOX
fun_work_listen,,What do you prefer to listen to while working?,RADIO
fun_music_genre,,What genre of music do you listen to while working? ,CHECKBOX
fun_podcast_type,,What types of podcasts or audiobooks do you listen to while working?,CHECKBOX
lifestyle_generation,,Which generation do you identify with?,RADIO
fun_party,,"At a party, you can find me…",RADIO
fun_introvert,,Do you consider yourself more of an extrovert or an introvert?,RADIO
job_identity,,How much do you align your identity to your job?,RADIO
job_self_comfortable,,Do you feel comfortable being your authentic self at work? ,RADIO
job_positive_feedback,,How often do you receive feedback or recognition that you are doing a good job at work?,RADIO
job_tasks_align,,Do you feel that your work tasks and responsibilities align with your skills and strengths?,RADIO
job_vacation_often,,How often do you typically take a vacation or PTO (paid time off) in a year? Select one.,RADIO
selfmon_company_support2,,Does your company subsidize mental health activities (e.g. paying toward or covering subscriptions to mental health apps)?,RADIO
job_mental_use,,Do you use your company’s mental health benefits or services? ,RADIO
emotions_about_ai_society,,"When you think about the increasing role of AI in society, which of the following emotions best describes your overall feeling?",RADIO
trust_ai_decisions_perslife,,To what extent do you trust AI systems to make decisions that impact your <em>personal</em> life?,RADIO
trust_ai_courts_in_country,,If your country's government replaced your courts with AI would you trust it?,RADIO
creativity_changed_since_ai,,How has your creativity changed since the adoption of AI began? ,RADIO
ethical_concerns_ai,,Which of the following ethical concerns about AI development do you consider to be most important? ,CHECKBOX
gamific_frequency,,"How often do you use fun, reward-based (gamified)* apps or features to help you learn, work, or improve yourself?",RADIO
ps_familiar,,How familiar are you with the concept of mental health?,RADIO
selfmon_experience.focus,selfmon_experience,I experienced difficulty maintaining focus while working on my tasks,RADIO
selfmon_experience.sadness,selfmon_experience,I experienced feelings of low mood or sadness,RADIO
selfmon_experience.anxious,selfmon_experience,I felt anxious or found myself persistently worrying,RADIO
selfmon_experience.exhausted,selfmon_experience,I felt emotionally exhausted,RADIO
selfmon_experience.work_thinking,selfmon_experience,I wasn’t able to stop thinking about work in my free time,RADIO
selfmon_experience.information_overload,selfmon_experience,I felt overwhelmed by the amount of information I had to process and the multiple sources I needed to keep up with,RADIO
selfmon_experience.stress,selfmon_experience,I experienced stress because of tight deadlines at work,RADIO
selfmon_experience,,"For each of the following statements, please indicate how much they applied to you over the past two weeks.",TABLE
,selfmon_problems,I often doubt my own abilities and feel like I don’t deserve my professional achievements,RADIO
,selfmon_problems,I feel socially isolated or disconnected from my colleagues,RADIO
,selfmon_problems,I feel overwhelmed by the constant need to learn and adapt to new technologies in my field,RADIO
,selfmon_problems,"I struggle to maintain a balance between work and personal life, feeling that work takes up too much of my time and energy",RADIO
,selfmon_problems,"Stress related to work negatively affects my sleep, making it difficult to rest and recover",RADIO
,selfmon_problems,I feel overwhelmed by the need to keep up with the rapid advancements in AI and the pressure to stay relevant in my field,RADIO
,selfmon_problems,I feel anxious that AI advancements might eventually replace my role as a developer,RADIO
